cod_municipio_ibge,nom_municipio,nom_regiaosaude,nom_regional,qtd_populacao_estimada
420650,GUARAMIRIM,NORDESTE,PLANALTO NORTE E NORDESTE,44819
420660,GUARUJA DO SUL,EXTREMO OESTE,GRANDE OESTE,5160
420665,GUATAMBU,OESTE,GRANDE OESTE,4704
420670,HERVAL D'OESTE,MEIO OESTE,MEIO OESTE E SERRA CATARINENSE,22606
420675,IBIAM,ALTO VALE DO RIO DO PEIXE,MEIO OESTE E SERRA CATARINENSE,1957
420680,IBICARE,MEIO OESTE,MEIO OESTE E SERRA CATARINENSE,3202
420690,IBIRAMA,ALTO VALE DO ITAJAI,ALTO VALE DO ITAJAI,18950
420700,ICARA,CARBONIFERA,SUL,56421
420710,ILHOTA,FOZ DO RIO ITAJAI,FOZ DO RIO ITAJAI,14184
420720,IMARUI,LAGUNA,SUL,10135
420730,IMBITUBA,LAGUNA,SUL,44853
420740,IMBUIA,ALTO VALE DO ITAJAI,ALTO VALE DO ITAJAI,6197
420750,INDAIAL,MEDIO VALE DO ITAJAI,ALTO VALE DO ITAJAI,69425
420757,IOMERE,ALTO VALE DO RIO DO PEIXE,MEIO OESTE E SERRA CATARINENSE,2945
420760,IPIRA,ALTO URUGUAI CATARINENSE,MEIO OESTE E SERRA CATARINENSE,4446
420765,IPORA DO OESTE,EXTREMO OESTE,GRANDE OESTE,8996
420768,IPUACU,XANXERE,GRANDE OESTE,7514
420770,IPUMIRIM,ALTO URUGUAI CATARINENSE,MEIO OESTE E SERRA CATARINENSE,7593
420775,IRACEMINHA,EXTREMO OESTE,GRANDE OESTE,3976
420780,IRANI,ALTO URUGUAI CATARINENSE,MEIO OESTE E SERRA CATARINENSE,10419
420785,IRATI,OESTE,GRANDE OESTE,1930
420790,IRINEOPOLIS,PLANALTO NORTE,PLANALTO NORTE E NORDESTE,11222
420800,ITA,ALTO URUGUAI CATARINENSE,MEIO OESTE E SERRA CATARINENSE,6169
420810,ITAIOPOLIS,PLANALTO NORTE,PLANALTO NORTE E NORDESTE,21669
420820,ITAJAI,FOZ DO RIO ITAJAI,FOZ DO RIO ITAJAI,219536
420830,ITAPEMA,FOZ DO RIO ITAJAI,FOZ DO RIO ITAJAI,65312
420840,ITAPIRANGA,EXTREMO OESTE,GRANDE OESTE,16872
420845,ITAPOA,NORDESTE,PLANALTO NORTE E NORDESTE,20576
420850,ITUPORANGA,ALTO VALE DO ITAJAI,ALTO VALE DO ITAJAI,25086
420860,JABORA,MEIO OESTE,MEIO OESTE E SERRA CATARINENSE,3936
420870,JACINTO MACHADO,EXTREMO SUL CATARINENSE,SUL,10416
420880,JAGUARUNA,LAGUNA,SUL,20024
420890,JARAGUA DO SUL,NORDESTE,PLANALTO NORTE E NORDESTE,177697
420895,JARDINOPOLIS,OESTE,GRANDE OESTE,1570
420900,JOACABA,MEIO OESTE,MEIO OESTE E SERRA CATARINENSE,30118
420910,JOINVILLE,NORDESTE,PLANALTO NORTE E NORDESTE,590466
420915,JOSE BOITEUX,ALTO VALE DO ITAJAI,ALTO VALE DO ITAJAI,4997
420917,JUPIA,XANXERE,GRANDE OESTE,2101
420920,LACERDOPOLIS,MEIO OESTE,MEIO OESTE E SERRA CATARINENSE,2246
420930,LAGES,SERRA CATARINENSE,MEIO OESTE E SERRA CATARINENSE,157544
420940,LAGUNA,LAGUNA,SUL,45814
420945,LAJEADO GRANDE,XANXERE,GRANDE OESTE,1427
420950,LAURENTINO,ALTO VALE DO ITAJAI,ALTO VALE DO ITAJAI,6970
420960,LAURO MULLER,CARBONIFERA,SUL,15244
420970,LEBON REGIS,ALTO VALE DO RIO DO PEIXE,MEIO OESTE E SERRA CATARINENSE,12107
420980,LEOBERTO LEAL,GRANDE FLORIANOPOLIS,GRANDE FLORIANOPOLIS,3041
420985,LINDOIA DO SUL,ALTO URUGUAI CATARINENSE,MEIO OESTE E SERRA CATARINENSE,4563
420990,LONTRAS,ALTO VALE DO ITAJAI,ALTO VALE DO ITAJAI,12130
421000,LUIZ ALVES,FOZ DO RIO ITAJAI,FOZ DO RIO ITAJAI,12859
421003,LUZERNA,MEIO OESTE,MEIO OESTE E SERRA CATARINENSE,5685
421005,MACIEIRA,ALTO VALE DO RIO DO PEIXE,MEIO OESTE E SERRA CATARINENSE,1775
421010,MAFRA,PLANALTO NORTE,PLANALTO NORTE E NORDESTE,56292
421020,MAJOR GERCINO,GRANDE FLORIANOPOLIS,GRANDE FLORIANOPOLIS,3442
421030,MAJOR VIEIRA,PLANALTO NORTE,PLANALTO NORTE E NORDESTE,8103
421040,MARACAJA,EXTREMO SUL CATARINENSE,SUL,7293
421050,MARAVILHA,EXTREMO OESTE,GRANDE OESTE,25762
421055,MAREMA,XANXERE,GRANDE OESTE,1797
421060,MASSARANDUBA,NORDESTE,PLANALTO NORTE E NORDESTE,16916
421070,MATOS COSTA,ALTO VALE DO RIO DO PEIXE,MEIO OESTE E SERRA CATARINENSE,2520
421080,MELEIRO,EXTREMO SUL CATARINENSE,SUL,7015
421085,MIRIM DOCE,ALTO VALE DO ITAJAI,ALTO VALE DO ITAJAI,2309
421090,MODELO,EXTREMO OESTE,GRANDE OESTE,4209
421100,MONDAI,EXTREMO OESTE,GRANDE OESTE,11742
421105,MONTE CARLO,MEIO OESTE,MEIO OESTE E SERRA CATARINENSE,9866
421110,MONTE CASTELO,PLANALTO NORTE,PLANALTO NORTE E NORDESTE,8275
421120,MORRO DA FUMACA,CARBONIFERA,SUL,17796
421125,MORRO GRANDE,EXTREMO SUL CATARINENSE,SUL,2893
421130,NAVEGANTES,FOZ DO RIO ITAJAI,FOZ DO RIO ITAJAI,81475
421140,NOVA ERECHIM,OESTE,GRANDE OESTE,5019
421145,NOVA ITABERABA,OESTE,GRANDE OESTE,4331
421150,NOVA TRENTO,GRANDE FLORIANOPOLIS,GRANDE FLORIANOPOLIS,14549
421160,NOVA VENEZA,CARBONIFERA,SUL,15166
421165,NOVO HORIZONTE,XANXERE,GRANDE OESTE,2442
421170,ORLEANS,CARBONIFERA,SUL,22912
421175,OTACILIO COSTA,SERRA CATARINENSE,MEIO OESTE E SERRA CATARINENSE,18744
421180,OURO,MEIO OESTE,MEIO OESTE E SERRA CATARINENSE,7295
421185,OURO VERDE,XANXERE,GRANDE OESTE,2217
421187,PAIAL,OESTE,GRANDE OESTE,1505
421189,PAINEL,SERRA CATARINENSE,MEIO OESTE E SERRA CATARINENSE,2359
421190,PALHOCA,GRANDE FLORIANOPOLIS,GRANDE FLORIANOPOLIS,171797
421200,PALMA SOLA,EXTREMO OESTE,GRANDE OESTE,7423
421205,PALMEIRA,SERRA CATARINENSE,MEIO OESTE E SERRA CATARINENSE,2627
421210,PALMITOS,OESTE,GRANDE OESTE,16169
421220,PAPANDUVA,PLANALTO NORTE,PLANALTO NORTE E NORDESTE,19320
421223,PARAISO,EXTREMO OESTE,GRANDE OESTE,3437
421225,PASSO DE TORRES,EXTREMO SUL CATARINENSE,SUL,8823
421227,PASSOS MAIA,XANXERE,GRANDE OESTE,4147
421230,PAULO LOPES,GRANDE FLORIANOPOLIS,GRANDE FLORIANOPOLIS,7494
421240,PEDRAS GRANDES,LAGUNA,SUL,3976
421250,PENHA,FOZ DO RIO ITAJAI,FOZ DO RIO ITAJAI,32531
421260,PERITIBA,ALTO URUGUAI CATARINENSE,MEIO OESTE E SERRA CATARINENSE,2787
421265,PESCARIA BRAVA,LAGUNA,SUL,10091
421270,PETROLANDIA,ALTO VALE DO ITAJAI,ALTO VALE DO ITAJAI,5937
421280,BALNEARIO PICARRAS,FOZ DO RIO ITAJAI,FOZ DO RIO ITAJAI,23147
421290,PINHALZINHO,OESTE,GRANDE OESTE,20313
421300,PINHEIRO PRETO,ALTO VALE DO RIO DO PEIXE,MEIO OESTE E SERRA CATARINENSE,3555
421310,PIRATUBA,ALTO URUGUAI CATARINENSE,MEIO OESTE E SERRA CATARINENSE,3854
421315,PLANALTO ALEGRE,OESTE,GRANDE OESTE,2870
421320,POMERODE,MEDIO VALE DO ITAJAI,ALTO VALE DO ITAJAI,33447
421330,PONTE ALTA,SERRA CATARINENSE,MEIO OESTE E SERRA CATARINENSE,4682
421335,PONTE ALTA DO NORTE,ALTO VALE DO RIO DO PEIXE,MEIO OESTE E SERRA CATARINENSE,3414
421340,PONTE SERRADA,XANXERE,GRANDE OESTE,11593
421350,PORTO BELO,FOZ DO RIO ITAJAI,FOZ DO RIO ITAJAI,21388
421360,PORTO UNIAO,PLANALTO NORTE,PLANALTO NORTE E NORDESTE,35398
421370,POUSO REDONDO,ALTO VALE DO ITAJAI,ALTO VALE DO ITAJAI,17453
421380,PRAIA GRANDE,EXTREMO SUL CATARINENSE,SUL,7319
421390,PRESIDENTE CASTELLO BRANCO,ALTO URUGUAI CATARINENSE,MEIO OESTE E SERRA CATARINENSE,1568
421400,PRESIDENTE GETULIO,ALTO VALE DO ITAJAI,ALTO VALE DO ITAJAI,17471
421410,PRESIDENTE NEREU,ALTO VALE DO ITAJAI,ALTO VALE DO ITAJAI,2287
421415,PRINCESA,EXTREMO OESTE,GRANDE OESTE,2924
421420,QUILOMBO,OESTE,GRANDE OESTE,9887
421430,RANCHO QUEIMADO,GRANDE FLORIANOPOLIS,GRANDE FLORIANOPOLIS,2878
421440,RIO DAS ANTAS,ALTO VALE DO RIO DO PEIXE,MEIO OESTE E SERRA CATARINENSE,6205
421450,RIO DO CAMPO,ALTO VALE DO ITAJAI,ALTO VALE DO ITAJAI,5940
421460,RIO DO OESTE,ALTO VALE DO ITAJAI,ALTO VALE DO ITAJAI,7489
421470,RIO DOS CEDROS,MEDIO VALE DO ITAJAI,ALTO VALE DO ITAJAI,11676
421480,RIO DO SUL,ALTO VALE DO ITAJAI,ALTO VALE DO ITAJAI,71061
421490,RIO FORTUNA,LAGUNA,SUL,4611
421500,RIO NEGRINHO,PLANALTO NORTE,PLANALTO NORTE E NORDESTE,42302
421505,RIO RUFINO,SERRA CATARINENSE,MEIO OESTE E SERRA CATARINENSE,2483
421507,RIQUEZA,OESTE,GRANDE OESTE,4598
421510,RODEIO,MEDIO VALE DO ITAJAI,ALTO VALE DO ITAJAI,11551
421520,ROMELANDIA,EXTREMO OESTE,GRANDE OESTE,4786
421530,SALETE,ALTO VALE DO ITAJAI,ALTO VALE DO ITAJAI,7642
421535,SALTINHO,EXTREMO OESTE,GRANDE OESTE,3781
421540,SALTO VELOSO,ALTO VALE DO RIO DO PEIXE,MEIO OESTE E SERRA CATARINENSE,4718
421545,SANGAO,LAGUNA,SUL,12678
421550,SANTA CECILIA,ALTO VALE DO RIO DO PEIXE,MEIO OESTE E SERRA CATARINENSE,16830
421555,SANTA HELENA,EXTREMO OESTE,GRANDE OESTE,2223
421560,SANTA ROSA DE LIMA,LAGUNA,SUL,2142
421565,SANTA ROSA DO SUL,EXTREMO SUL CATARINENSE,SUL,8358
421567,SANTA TEREZINHA,ALTO VALE DO ITAJAI,ALTO VALE DO ITAJAI,8787
421568,SANTA TEREZINHA DO PROGRESSO,EXTREMO OESTE,GRANDE OESTE,2428
421569,SANTIAGO DO SUL,OESTE,GRANDE OESTE,1260
421570,SANTO AMARO DA IMPERATRIZ,GRANDE FLORIANOPOLIS,GRANDE FLORIANOPOLIS,23245
421575,SAO BERNARDINO,XANXERE,GRANDE OESTE,2336
421580,SAO BENTO DO SUL,PLANALTO NORTE,PLANALTO NORTE E NORDESTE,84507
421590,SAO BONIFACIO,GRANDE FLORIANOPOLIS,GRANDE FLORIANOPOLIS,2838
421600,SAO CARLOS,OESTE,GRANDE OESTE,11281
421605,SAO CRISTOVAO DO SUL,ALTO VALE DO RIO DO PEIXE,MEIO OESTE E SERRA CATARINENSE,5549
421610,SAO DOMINGOS,XANXERE,GRANDE OESTE,9445
421620,SAO FRANCISCO DO SUL,NORDESTE,PLANALTO NORTE E NORDESTE,52721
421625,SAO JOAO DO OESTE,EXTREMO OESTE,GRANDE OESTE,6381
421630,SAO JOAO BATISTA,GRANDE FLORIANOPOLIS,GRANDE FLORIANOPOLIS,37424
421635,SAO JOAO DO ITAPERIU,NORDESTE,PLANALTO NORTE E NORDESTE,3733
421640,SAO JOAO DO SUL,EXTREMO SUL CATARINENSE,SUL,7297
421650,SAO JOAQUIM,SERRA CATARINENSE,MEIO OESTE E SERRA CATARINENSE,26952
421660,SAO JOSE,GRANDE FLORIANOPOLIS,GRANDE FLORIANOPOLIS,246586
421670,SAO JOSE DO CEDRO,EXTREMO OESTE,GRANDE OESTE,13829
421680,SAO JOSE DO CERRITO,SERRA CATARINENSE,MEIO OESTE E SERRA CATARINENSE,8295
421690,SAO LOURENCO DO OESTE,XANXERE,GRANDE OESTE,24076
421700,SAO LUDGERO,LAGUNA,SUL,13410
421710,SAO MARTINHO,LAGUNA,SUL,3180
421715,SAO MIGUEL DA BOA VISTA,EXTREMO OESTE,GRANDE OESTE,1820
421720,SAO MIGUEL DO OESTE,EXTREMO OESTE,GRANDE OESTE,40482
421725,SAO PEDRO DE ALCANTARA,GRANDE FLORIANOPOLIS,GRANDE FLORIANOPOLIS,5823
421730,SAUDADES,EXTREMO OESTE,GRANDE OESTE,9745
421740,SCHROEDER,NORDESTE,PLANALTO NORTE E NORDESTE,21365
421750,SEARA,ALTO URUGUAI CATARINENSE,MEIO OESTE E SERRA CATARINENSE,17541
421755,SERRA ALTA,OESTE,GRANDE OESTE,3263
421760,SIDEROPOLIS,CARBONIFERA,SUL,14007
421770,SOMBRIO,EXTREMO SUL CATARINENSE,SUL,30374
421775,SUL BRASIL,OESTE,GRANDE OESTE,2461
421780,TAIO,ALTO VALE DO ITAJAI,ALTO VALE DO ITAJAI,18395
421790,TANGARA,ALTO VALE DO RIO DO PEIXE,MEIO OESTE E SERRA CATARINENSE,8676
421795,TIGRINHOS,EXTREMO OESTE,GRANDE OESTE,1633
421800,TIJUCAS,GRANDE FLORIANOPOLIS,GRANDE FLORIANOPOLIS,38407
421810,TIMBE DO SUL,EXTREMO SUL CATARINENSE,SUL,5348
421820,TIMBO,MEDIO VALE DO ITAJAI,ALTO VALE DO ITAJAI,44238
421825,TIMBO GRANDE,ALTO VALE DO RIO DO PEIXE,MEIO OESTE E SERRA CATARINENSE,7877
421830,TRES BARRAS,PLANALTO NORTE,PLANALTO NORTE E NORDESTE,19275
421835,TREVISO,CARBONIFERA,SUL,3929
421840,TREZE DE MAIO,LAGUNA,SUL,7081
421850,TREZE TILIAS,MEIO OESTE,MEIO OESTE E SERRA CATARINENSE,7840
421860,TROMBUDO CENTRAL,ALTO VALE DO ITAJAI,ALTO VALE DO ITAJAI,7360
421870,TUBARAO,LAGUNA,SUL,105686
421875,TUNAPOLIS,EXTREMO OESTE,GRANDE OESTE,4543
421880,TURVO,EXTREMO SUL CATARINENSE,SUL,12899
421885,UNIAO DO OESTE,OESTE,GRANDE OESTE,2464
421890,URUBICI,SERRA CATARINENSE,MEIO OESTE E SERRA CATARINENSE,11235
421895,URUPEMA,SERRA CATARINENSE,MEIO OESTE E SERRA CATARINENSE,2465
421900,URUSSANGA,CARBONIFERA,SUL,21268
421910,VARGEAO,XANXERE,GRANDE OESTE,3573
421915,VARGEM,MEIO OESTE,MEIO OESTE E SERRA CATARINENSE,2477
421917,VARGEM BONITA,MEIO OESTE,MEIO OESTE E SERRA CATARINENSE,4492
421920,VIDAL RAMOS,ALTO VALE DO ITAJAI,ALTO VALE DO ITAJAI,6338
421930,VIDEIRA,ALTO VALE DO RIO DO PEIXE,MEIO OESTE E SERRA CATARINENSE,53065
421935,VITOR MEIRELES,ALTO VALE DO ITAJAI,ALTO VALE DO ITAJAI,4979
421940,WITMARSUM,ALTO VALE DO ITAJAI,ALTO VALE DO ITAJAI,3965
421950,XANXERE,XANXERE,GRANDE OESTE,50982
421960,XAVANTINA,ALTO URUGUAI CATARINENSE,MEIO OESTE E SERRA CATARINENSE,3933
421970,XAXIM,XANXERE,GRANDE OESTE,28706
421985,ZORTEA,MEIO OESTE,MEIO OESTE E SERRA CATARINENSE,3363
422000,BALNEARIO RINCAO,CARBONIFERA,SUL,12760
