cod_municipio_ibge,nom_municipio,nom_regional,qtd_populacao_estimada
420670,HERVAL D'OESTE,MEIO OESTE E SERRA CATARINENSE,22606
420675,IBIAM,MEIO OESTE E SERRA CATARINENSE,1957
420680,IBICARE,MEIO OESTE E SERRA CATARINENSE,3202
420690,IBIRAMA,ALTO VALE DO ITAJAI,18950
420700,ICARA,SUL,56421
420710,ILHOTA,FOZ DO RIO ITAJAI,14184
420720,IMARUI,SUL,10135
420730,IMBITUBA,SUL,44853
420740,IMBUIA,ALTO VALE DO ITAJAI,6197
420750,INDAIAL,ALTO VALE DO ITAJAI,69425
420757,IOMERE,MEIO OESTE E SERRA CATARINENSE,2945
420760,IPIRA,MEIO OESTE E SERRA CATARINENSE,4446
420765,IPORA DO OESTE,GRANDE OESTE,8996
420768,IPUACU,GRANDE OESTE,7514
420770,IPUMIRIM,MEIO OESTE E SERRA CATARINENSE,7593
420775,IRACEMINHA,GRANDE OESTE,3976
420780,IRANI,MEIO OESTE E SERRA CATARINENSE,10419
420785,IRATI,GRANDE OESTE,1930
420790,IRINEOPOLIS,PLANALTO NORTE E NORDESTE,11222
420800,ITA,MEIO OESTE E SERRA CATARINENSE,6169
420810,ITAIOPOLIS,PLANALTO NORTE E NORDESTE,21669
420820,ITAJAI,FOZ DO RIO ITAJAI,219536
420830,ITAPEMA,FOZ DO RIO ITAJAI,65312
420840,ITAPIRANGA,GRANDE OESTE,16872
420845,ITAPOA,PLANALTO NORTE E NORDESTE,20576
420850,ITUPORANGA,ALTO VALE DO ITAJAI,25086
420860,JABORA,MEIO OESTE E SERRA CATARINENSE,3936
420870,JACINTO MACHADO,SUL,10416
420880,JAGUARUNA,SUL,20024
420890,JARAGUA DO SUL,PLANALTO NORTE E NORDESTE,177697
420895,JARDINOPOLIS,GRANDE OESTE,1570
420900,JOACABA,MEIO OESTE E SERRA CATARINENSE,30118
420910,JOINVILLE,PLANALTO NORTE E NORDESTE,590466
420915,JOSE BOITEUX,ALTO VALE DO ITAJAI,4997
420917,JUPIA,GRANDE OESTE,2101
420920,LACERDOPOLIS,MEIO OESTE E SERRA CATARINENSE,2246
420930,LAGES,MEIO OESTE E SERRA CATARINENSE,157544
420940,LAGUNA,SUL,45814
420945,LAJEADO GRANDE,GRANDE OESTE,1427
420950,LAURENTINO,ALTO VALE DO ITAJAI,6970
420960,LAURO MULLER,SUL,15244
420970,LEBON REGIS,MEIO OESTE E SERRA CATARINENSE,12107
420980,LEOBERTO LEAL,GRANDE FLORIANOPOLIS,3041
420985,LINDOIA DO SUL,MEIO OESTE E SERRA CATARINENSE,4563
420990,LONTRAS,ALTO VALE DO ITAJAI,12130
421000,LUIZ ALVES,FOZ DO RIO ITAJAI,12859
421003,LUZERNA,MEIO OESTE E SERRA CATARINENSE,5685
421005,MACIEIRA,MEIO OESTE E SERRA CATARINENSE,1775
421010,MAFRA,PLANALTO NORTE E NORDESTE,56292
421020,MAJOR GERCINO,GRANDE FLORIANOPOLIS,3442
421030,MAJOR VIEIRA,PLANALTO NORTE E NORDESTE,8103
421040,MARACAJA,SUL,7293
421050,MARAVILHA,GRANDE OESTE,25762
421055,MAREMA,GRANDE OESTE,1797
421060,MASSARANDUBA,PLANALTO NORTE E NORDESTE,16916
421070,MATOS COSTA,MEIO OESTE E SERRA CATARINENSE,2520
421080,MELEIRO,SUL,7015
421085,MIRIM DOCE,ALTO VALE DO ITAJAI,2309
421090,MODELO,GRANDE OESTE,4209
421100,MONDAI,GRANDE OESTE,11742
421105,MONTE CARLO,MEIO OESTE E SERRA CATARINENSE,9866
421110,MONTE CASTELO,PLANALTO NORTE E NORDESTE,8275
421120,MORRO DA FUMACA,SUL,17796
421125,MORRO GRANDE,SUL,2893
421130,NAVEGANTES,FOZ DO RIO ITAJAI,81475
421140,NOVA ERECHIM,GRANDE OESTE,5019
421145,NOVA ITABERABA,GRANDE OESTE,4331
421150,NOVA TRENTO,GRANDE FLORIANOPOLIS,14549
421160,NOVA VENEZA,SUL,15166
421165,NOVO HORIZONTE,GRANDE OESTE,2442
421170,ORLEANS,SUL,22912
421175,OTACILIO COSTA,MEIO OESTE E SERRA CATARINENSE,18744
421180,OURO,MEIO OESTE E SERRA CATARINENSE,7295
421185,OURO VERDE,GRANDE OESTE,2217
421187,PAIAL,GRANDE OESTE,1505
421189,PAINEL,MEIO OESTE E SERRA CATARINENSE,2359
421190,PALHOCA,GRANDE FLORIANOPOLIS,171797
421200,PALMA SOLA,GRANDE OESTE,7423
421205,PALMEIRA,MEIO OESTE E SERRA CATARINENSE,2627
421210,PALMITOS,GRANDE OESTE,16169
421220,PAPANDUVA,PLANALTO NORTE E NORDESTE,19320
421223,PARAISO,GRANDE OESTE,3437
421225,PASSO DE TORRES,SUL,8823
421227,PASSOS MAIA,GRANDE OESTE,4147
421230,PAULO LOPES,GRANDE FLORIANOPOLIS,7494
421240,PEDRAS GRANDES,SUL,3976
421250,PENHA,FOZ DO RIO ITAJAI,32531
421260,PERITIBA,MEIO OESTE E SERRA CATARINENSE,2787
421265,PESCARIA BRAVA,SUL,10091
421270,PETROLANDIA,ALTO VALE DO ITAJAI,5937
421280,BALNEARIO PICARRAS,FOZ DO RIO ITAJAI,23147
421290,PINHALZINHO,GRANDE OESTE,20313
421300,PINHEIRO PRETO,MEIO OESTE E SERRA CATARINENSE,3555
421310,PIRATUBA,MEIO OESTE E SERRA CATARINENSE,3854
421315,PLANALTO ALEGRE,GRANDE OESTE,2870
421320,POMERODE,ALTO VALE DO ITAJAI,33447
421330,PONTE ALTA,MEIO OESTE E SERRA CATARINENSE,4682
421335,PONTE ALTA DO NORTE,MEIO OESTE E SERRA CATARINENSE,3414
421340,PONTE SERRADA,GRANDE OESTE,11593
421350,PORTO BELO,FOZ DO RIO ITAJAI,21388
421360,PORTO UNIAO,PLANALTO NORTE E NORDESTE,35398
421370,POUSO REDONDO,ALTO VALE DO ITAJAI,17453
421380,PRAIA GRANDE,SUL,7319
421390,PRESIDENTE CASTELLO BRANCO,MEIO OESTE E SERRA CATARINENSE,1568
421400,PRESIDENTE GETULIO,ALTO VALE DO ITAJAI,17471
421410,PRESIDENTE NEREU,ALTO VALE DO ITAJAI,2287
421415,PRINCESA,GRANDE OESTE,2924
421420,QUILOMBO,GRANDE OESTE,9887
421430,RANCHO QUEIMADO,GRANDE FLORIANOPOLIS,2878
421440,RIO DAS ANTAS,MEIO OESTE E SERRA CATARINENSE,6205
421450,RIO DO CAMPO,ALTO VALE DO ITAJAI,5940
421460,RIO DO OESTE,ALTO VALE DO ITAJAI,7489
421470,RIO DOS CEDROS,ALTO VALE DO ITAJAI,11676
421480,RIO DO SUL,ALTO VALE DO ITAJAI,71061
421490,RIO FORTUNA,SUL,4611
421500,RIO NEGRINHO,PLANALTO NORTE E NORDESTE,42302
421505,RIO RUFINO,MEIO OESTE E SERRA CATARINENSE,2483
421507,RIQUEZA,GRANDE OESTE,4598
421510,RODEIO,ALTO VALE DO ITAJAI,11551
421520,ROMELANDIA,GRANDE OESTE,4786
421530,SALETE,ALTO VALE DO ITAJAI,7642
421535,SALTINHO,GRANDE OESTE,3781
421540,SALTO VELOSO,MEIO OESTE E SERRA CATARINENSE,4718
421545,SANGAO,SUL,12678
421550,SANTA CECILIA,MEIO OESTE E SERRA CATARINENSE,16830
421555,SANTA HELENA,GRANDE OESTE,2223
