country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-04-09,-43,0,-58,-63,-33,13
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-04-10,-76,-44,-71,-76,-76,28
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-04-11,-56,-8,-73,-62,-34,16
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-04-12,-75,-54,-79,-66,-29,13
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-04-13,-48,-25,-72,-67,-27,15
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-04-14,-50,-26,-73,-67,-27,15
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-04-15,-47,-22,-60,-65,-26,15
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-04-16,-47,-23,-61,-66,-26,15
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-04-17,-50,-22,-70,-66,-25,16
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-04-18,-56,-22,-71,-62,-22,14
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-04-19,-70,-36,-74,-70,-29,15
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-04-20,-46,-20,-67,-66,-30,14
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-04-21,-65,-41,-60,-73,-60,21
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-04-22,-44,-22,-54,-64,-21,13
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-04-23,-44,-24,-55,-65,-22,13
