country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-19,NA,NA,NA,NA,1,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-20,NA,NA,NA,NA,8,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-21,NA,NA,NA,NA,2,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-22,NA,NA,NA,NA,-2,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-23,NA,NA,NA,NA,-5,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-24,NA,NA,NA,NA,-18,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-25,NA,NA,NA,NA,0,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-26,NA,NA,NA,NA,-3,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-27,NA,NA,NA,NA,-10,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-28,NA,NA,NA,NA,-7,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-29,NA,NA,NA,NA,-3,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-30,NA,NA,NA,NA,-5,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-01,NA,NA,NA,NA,-7,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-02,NA,NA,NA,NA,-2,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-03,NA,NA,NA,NA,-6,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-04,NA,NA,NA,NA,-2,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-05,NA,NA,NA,NA,-11,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-06,NA,NA,NA,NA,-6,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-07,NA,NA,NA,NA,-13,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-08,NA,NA,NA,NA,-8,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-09,NA,NA,NA,NA,-4,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-10,NA,NA,NA,NA,-5,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-11,NA,NA,NA,NA,-6,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-12,NA,NA,NA,NA,-15,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-13,NA,NA,NA,NA,-9,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-14,NA,NA,NA,NA,-7,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-15,NA,NA,NA,NA,-8,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-16,NA,NA,NA,NA,-21,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-17,NA,NA,NA,NA,-25,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-18,NA,NA,NA,NA,-27,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-19,NA,NA,NA,NA,-12,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-20,NA,NA,NA,NA,-24,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-21,NA,NA,NA,NA,-25,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-22,NA,NA,NA,NA,-27,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-23,NA,NA,NA,NA,-25,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-24,NA,NA,NA,NA,-22,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-25,NA,NA,NA,NA,-11,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-26,NA,NA,NA,NA,-10,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-27,NA,NA,NA,NA,-7,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-02-25,NA,NA,NA,NA,-47,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-19,NA,NA,NA,NA,-33,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-20,NA,NA,NA,NA,-42,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-23,NA,NA,NA,NA,-38,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-24,NA,NA,NA,NA,-41,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-25,NA,NA,NA,NA,-42,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-26,NA,NA,NA,NA,-35,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-10,NA,NA,NA,NA,-68,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-21,NA,NA,NA,NA,-51,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-01,NA,NA,NA,NA,-60,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-08,NA,NA,NA,NA,10,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-09,NA,NA,NA,NA,2,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-10,NA,NA,NA,NA,8,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-11,NA,NA,NA,NA,-52,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-12,NA,NA,NA,NA,-3,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-13,NA,NA,NA,NA,1,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-15,NA,NA,NA,NA,7,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-16,NA,NA,NA,NA,2,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-17,NA,NA,NA,NA,6,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-18,NA,NA,NA,NA,1,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-19,NA,NA,NA,NA,4,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-20,NA,NA,NA,NA,3,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-22,NA,NA,NA,NA,7,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-23,NA,NA,NA,NA,4,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-24,NA,NA,NA,NA,8,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-25,NA,NA,NA,NA,1,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-26,NA,NA,NA,NA,5,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-27,NA,NA,NA,NA,0,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-29,NA,NA,NA,NA,7,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-30,NA,NA,NA,NA,0,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-01,NA,NA,NA,NA,-2,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-02,NA,NA,NA,NA,-1,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-03,NA,NA,NA,NA,13,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-04,NA,NA,NA,NA,5,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-06,NA,NA,NA,NA,9,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-07,NA,NA,NA,NA,2,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-08,NA,NA,NA,NA,4,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-09,NA,NA,NA,NA,2,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-10,NA,NA,NA,NA,9,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-11,NA,NA,NA,NA,-6,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-13,NA,NA,NA,NA,11,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-14,NA,NA,NA,NA,6,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-15,NA,NA,NA,NA,5,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-16,NA,NA,NA,NA,5,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-17,NA,NA,NA,NA,13,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-18,NA,NA,NA,NA,3,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-20,NA,NA,NA,NA,8,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-21,NA,NA,NA,NA,3,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-22,NA,NA,NA,NA,2,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-23,NA,NA,NA,NA,3,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-24,NA,NA,NA,NA,10,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-25,NA,NA,NA,NA,-2,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-27,NA,NA,NA,NA,7,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-02-15,5,1,-12,10,3,2
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-02-16,4,4,-29,7,-7,6
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-02-17,2,5,-5,40,18,-2
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-02-18,-4,1,-17,45,17,-1
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-02-19,2,5,12,55,17,-3
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-02-20,6,9,0,44,16,-3
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-02-21,1,7,4,55,18,-3
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-02-22,-4,1,-6,34,-2,0
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-02-23,4,-3,-16,-5,-5,1
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-02-24,0,3,4,-5,-20,3
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-02-25,-46,-26,-58,4,-52,13
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-02-26,-13,-1,-2,45,8,2
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-02-27,0,6,-10,23,17,-1
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-02-28,3,8,1,20,20,-1
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-02-29,1,7,7,-1,8,2
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-01,6,8,-8,6,-2,4
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-02,2,6,-1,18,20,-2
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-03,1,7,1,12,19,-2
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-04,2,9,22,19,20,-2
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-05,10,11,8,16,18,-3
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-06,18,18,9,26,22,-4
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-07,24,19,10,12,6,-1
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-08,44,20,32,10,6,1
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-09,9,13,5,15,21,-3
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-10,9,14,21,23,20,-3
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-11,7,15,18,17,20,-3
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-12,8,13,11,19,18,-4
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-13,5,11,0,15,20,-3
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-14,5,12,21,7,6,0
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-15,9,15,5,1,0,2
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-16,-1,18,-8,6,18,-2
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-17,-11,21,-9,12,11,1
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-18,-39,28,-41,-4,1,6
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-19,-73,-20,-72,-66,-42,20
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-20,-79,-28,-81,-86,-52,25
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-21,-86,-41,-84,NA,-58,24
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-22,-85,-53,-90,NA,-43,23
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-23,-82,-41,-87,-90,-60,27
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-24,-80,-40,-82,NA,-60,28
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-25,-78,-37,-77,-84,-56,26
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-26,-78,-36,-81,-90,-55,26
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-27,-76,-34,-75,-90,-52,26
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-28,-80,-35,-78,-87,-49,21
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-29,-76,-38,-81,NA,-30,17
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-30,-66,-27,-71,-86,-43,21
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-03-31,-64,-20,-68,-80,-42,20
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-01,-64,-15,-61,-84,-39,19
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-02,-63,-23,-74,-86,-39,20
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-03,-60,-17,-69,-85,-33,20
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-04,-65,-14,-72,-82,-34,17
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-05,-66,-22,-74,NA,-25,15
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-06,-52,-17,-74,-85,-30,18
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-07,-43,-1,-53,-75,-26,15
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-08,-40,3,-41,-74,-22,13
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-09,-33,22,-45,-74,-24,10
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-10,-76,-29,-73,-89,-78,29
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-11,-53,4,-57,-77,-31,14
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-12,-69,-30,-75,NA,-17,8
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-13,-31,-8,-37,-77,-14,11
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-14,-37,-10,-42,-77,-16,13
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-15,-35,-7,-29,-74,-15,12
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-16,-35,-11,-40,-78,-16,12
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-17,-36,-7,-42,-78,-13,12
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-18,-43,-4,-48,-82,-11,11
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-19,-57,-18,-66,NA,-19,13
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-20,-28,3,-37,-76,-18,11
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-21,-56,-24,-51,-86,-58,21
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-22,-32,-9,-23,-74,-10,10
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-23,-30,-10,-39,-74,-12,10
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-24,-32,-9,-40,-76,-8,11
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-25,-37,-5,-38,-79,-5,9
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-26,-47,-15,-62,-87,-11,11
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-27,-29,-13,-44,-77,-8,10
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-28,-33,-13,-41,-77,-10,11
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-29,-32,-8,-26,-78,-10,11
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-04-30,-24,11,-31,-72,-11,7
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-01,-69,-26,-72,-91,-71,28
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-02,-40,-4,-51,-82,-19,13
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-03,-50,-22,-66,NA,-10,12
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-04,-25,-4,-32,-78,-8,10
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-05,-37,-11,-54,-78,-13,13
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-06,-25,8,-22,-73,-9,11
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-07,-18,9,-28,-75,-11,11
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-08,-18,11,-26,-74,-7,11
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-09,-19,22,-31,-74,-6,10
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-10,-43,-2,-74,-83,1,10
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-11,-20,2,-33,-75,-7,10
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-12,-29,-5,-45,-73,-9,12
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-13,-38,-9,-52,-81,-12,14
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-14,-29,-4,-49,-76,-11,12
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-15,-31,-2,-48,-76,-9,12
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-16,-37,-3,-55,-78,-4,12
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-17,-47,-14,-72,-86,-9,14
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-18,-28,-9,-53,-79,-7,11
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-19,-31,-9,-46,-76,-9,11
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-20,-29,-3,-33,-76,-8,11
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-21,-30,-6,-46,-76,-10,11
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-22,-39,-10,-61,-80,-9,15
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-23,-45,-10,-71,-84,-11,16
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-24,-58,-28,-83,NA,-16,18
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-25,-28,-8,-46,-77,-8,12
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-26,-31,-8,-49,-77,-7,12
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-27,-31,-6,-36,-79,-7,12
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-28,-29,-2,-42,-76,-8,11
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-29,-29,3,-45,-77,-5,12
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-30,-32,3,-55,-77,-1,10
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-05-31,-49,-11,-75,NA,-2,13
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-01,-27,-5,-51,-77,-5,11
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-02,-27,-2,-43,-73,-6,11
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-03,-25,2,-31,-73,-5,10
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-04,-29,-2,-59,-73,-9,12
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-05,-29,4,-53,-68,-6,13
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-06,-26,13,-59,-62,-3,12
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-07,-29,-1,-70,-68,1,14
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-08,-14,8,-42,-66,-4,9
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-09,-25,-2,-56,-62,-7,12
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-10,-21,8,-45,-60,-6,10
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-11,-44,-5,-63,-69,-64,25
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-12,-3,21,-39,-63,-11,10
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-13,-33,-1,-64,-62,-4,13
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-14,-37,-6,-71,-62,5,11
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-15,-15,5,-41,-62,-2,9
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-16,-19,5,-36,-52,-3,9
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-17,-21,6,-34,-54,-3,9
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-18,-21,4,-45,-53,-8,10
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-19,-21,6,-46,-56,-5,10
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-20,-25,11,-49,-52,2,8
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-21,-35,2,-63,-57,6,9
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-22,-21,0,-42,-55,-4,9
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-23,-23,0,-44,-50,-5,10
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-24,-24,4,-28,-48,-4,9
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-25,-34,-7,-63,-64,-8,13
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-26,-25,5,-53,-52,-4,12
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-27,-32,3,-59,-56,-2,12
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-28,-40,-10,-71,-58,0,13
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-29,-30,-8,-61,-63,-5,12
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-06-30,-41,-16,-65,-56,-12,5
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-01,-26,6,-50,-47,-11,6
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-02,-21,5,-57,-46,-8,8
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-03,-21,9,-48,-48,-3,10
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-04,-17,18,-41,-35,1,8
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-05,-34,0,-78,-52,0,13
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-06,-11,14,-47,-48,-3,8
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-07,-17,12,-49,-37,-6,10
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-08,-18,12,-41,-46,-5,10
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-09,-12,12,-46,-35,-5,9
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-10,-10,16,-47,-37,-1,8
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-11,-16,15,-52,-32,4,8
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-12,-22,5,-65,-47,4,10
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-13,-19,2,-49,-41,-3,9
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-14,-16,4,-43,-29,-3,9
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-15,-15,10,-35,-27,-3,9
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-16,-16,6,-50,-34,-4,9
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-17,-14,11,-42,-40,-1,9
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-18,-18,14,-42,-24,0,7
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-19,-24,8,-58,-36,-1,8
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-20,-14,4,-45,-33,-1,8
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-21,-17,5,-42,-32,-1,8
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-22,-20,5,-30,-32,-2,8
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-23,-18,4,-49,-30,-4,8
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-24,-19,5,-45,-40,-1,8
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-25,-30,4,-61,-40,-5,12
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-26,-35,-2,-68,-55,-1,12
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-07-27,-16,4,-52,-45,-3,9
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-02-17,NA,NA,NA,NA,16,NA
BR,Brazil,State of Santa Catarina,NA,NA,NA,NA,2020-02-18,NA,NA,NA,NA,15,NA
